Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Discount tier 1 (min qty) (product.metafields.custom.discount_tier1_qty),Discount tier 2 (min qty) (product.metafields.custom.discount_tier2_qty),Bought together products (product.metafields.globo--filter--product_recommendation.bought_together_products),Complementary products (product.metafields.globo--filter--product_recommendation.complementary_products),Related products (product.metafields.globo--filter--product_recommendation.related_products),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Scent (product.metafields.shopify.scent),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ekco-mat-black,ëkco mat black,"<p class=""s5""><span class=""s4"">ëkco mat</span><span class=""s4""> is an absorbent urinal floor mat designed to enhance restroom hygiene and protect floors from urine accumulation. With dimensions of 55 x 50 x 3 cm, it effectively covers the area around most standard urinals, preventing floor damage and reducing urine transfer on users’ shoe soles. This helps maintain a cleaner and more comfortable restroom environment.</span></p>
<p class=""s5""><span class=""s4"">ëkco mat</span><span class=""s4""> is a cost-effective, disposable solution ideal for restaurants, hotels, and other high-traffic locations where hygiene is a priority.</span></p>
<p class=""s3""><strong><span class=""s2"">ëkco mat</span><span class=""s2""> offers a practical, hygienic, and budget-friendly solution for maintaining clean and professional restroom spaces.</span></strong></p>
<p class=""s5""><span><img src=""https://cdn.shopify.com/s/files/1/0989/0542/4215/files/Header-desktop-1_cb205a2b-3acd-422e-badf-d24ef1f8523b.jpg?v=1773741668"" alt=""""> </span></p>
<p class=""s3""><span class=""s2"">Key benefits:</span></p>
<ul>
<li class=""s9""><span class=""s4"">Protects the floor beneath the urinal</span></li>
<li class=""s9"">
<span class=""s4"">Reduces </span><span class=""s4"">the spread of urine on the soles of shoes</span>
</li>
<li class=""s9""><span class=""s4"">Cost-effective hygiene solution</span></li>
<li class=""s9""><span class=""s4"">Disposable use</span></li>
<li class=""s9""><span class=""s4"">Option for private branding</span></li>
<li class=""s9"">
<span class=""s4"">Dimensions: 55 x 50 x </span><span class=""s4"">0.5</span><span class=""s4""> cm</span>
</li>
<li class=""s9""><span class=""s4"">Recyclable</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,UFM-01,182.0,shopify,130,deny,manual,7.49,,true,true,,,,,UFM-01,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/EkcoMat_01.jpg?v=1773741592,1,"",false,,,1746,,,,new,,,,,,,,,,,,,,,,,,,,,,g,,,active
ekco-mat-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/EkcoMat_05.jpg?v=1773741589,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekco-mat-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/EkcoMat_06.jpg?v=1773741625,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcren-puck-blue-fresh,xcrën puck blue / fresh,"<p class=""s5""><span class=""s4"">xcrën</span><span class=""s4""> is a NON-PARA puck urinal screen designed for effective odor control and drainage protection. Unlike traditional PARA-based products, it is free from paradichlorobenzene (PARA), a compound classified as possibly carcinogenic by the WHO. Its unique X-shaped design prevents solids and debris from clogging the drainage system while ensuring a clean and fresh fragrance release after each use for up to 30 days.</span></p>
<p class=""s5""><span class=""s4"">The puck is made from eco-friendly ingredients, primarily wax and glycerin, making it a safe and sustainable choice. As a disposable product, the puck is designed for single-use and cannot be replaced</span><span class=""s4"">.</span></p>
<p class=""s3""><strong><span class=""s2"">xcrën</span><span class=""s2""> provides a safe, effective, and environmentally conscious solution for maintaining freshness and hygiene in urinals.</span></strong></p>
<p class=""s5""><span><img alt="""" src=""https://cdn.shopify.com/s/files/1/0989/0542/4215/files/Header-desktop-1_2f8beeeb-e286-4467-85e9-81af38b8be2a.jpg?v=1773741033""> </span><span class=""s2"">Key benefits:</span></p>
<ul>
<li class=""s19"">
<span class=""s18"">N</span><span class=""s4"">ON-PARA Puck (PARA stands for paradichlorobenzene = possibly carcinogenic according to the WHO) </span>
</li>
<li class=""s19""><span class=""s4"">Prevents solids and other debris from clogging the drainage</span></li>
<li class=""s19""><span class=""s4"">Releasing clean &amp; fresh fragrance after each use for up to 30 days</span></li>
<li class=""s19""><span class=""s4"">Ideal for monthly urinal maintenance</span></li>
<li class=""s19"">
<span class=""s4"">Puck is </span><span class=""s4"">manufactured</span><span class=""s4""> of nature-friendly ingredients mostly wax and glycerin</span>
</li>
<li class=""s19""><span class=""s4"">Disposable - the puck cannot be replaced with a new one</span></li>
<li class=""s19""><span class=""s4"">Packaged in an eco-friendly cellophane bag</span></li>
<li class=""s19""><span class=""s4"">Complies European VOC standards</span></li>
<li class=""s19""><span class=""s4"">A new unique X design</span></li>
<li class=""s19""><span class=""s4"">Option for private branding through material cutouts and printing</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,XPU-02B,61.0,shopify,76,deny,manual,7.49,,true,true,,,,,XPU-02B,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/XPU-1P-V1.jpg?v=1773913294,1,"",false,,,1746,,,,new,,,,,,,,,,,,,,blue-fresh,,fresh,,,,,,g,,,active
xcren-puck-blue-fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/XPU-1P-V3.jpg?v=1773913294,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcren-puck-blue-fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/XPU-1P-V2.jpg?v=1773913294,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcren-puck-white-fresh,xcrën puck white / fresh,"<p class=""s5""><span class=""s4"">xcrën</span><span class=""s4""> is a NON-PARA puck urinal screen designed for effective odor control and drainage protection. Unlike traditional PARA-based products, it is free from paradichlorobenzene (PARA), a compound classified as possibly carcinogenic by the WHO. Its unique X-shaped design prevents solids and debris from clogging the drainage system while ensuring a clean and fresh fragrance release after each use for up to 30 days.</span></p>
<p class=""s5""><span class=""s4"">The puck is made from eco-friendly ingredients, primarily wax and glycerin, making it a safe and sustainable choice. As a disposable product, the puck is designed for single-use and cannot be replaced</span><span class=""s4"">.</span></p>
<p class=""s3""><strong><span class=""s2"">xcrën</span><span class=""s2""> provides a safe, effective, and environmentally conscious solution for maintaining freshness and hygiene in urinals.</span></strong></p>
<p class=""s5""><span><img alt="""" src=""https://cdn.shopify.com/s/files/1/0989/0542/4215/files/Header-desktop-1_2f8beeeb-e286-4467-85e9-81af38b8be2a.jpg?v=1773741033""> </span><span class=""s2"">Key benefits:</span></p>
<ul>
<li class=""s19"">
<span class=""s18"">N</span><span class=""s4"">ON-PARA Puck (PARA stands for paradichlorobenzene = possibly carcinogenic according to the WHO) </span>
</li>
<li class=""s19""><span class=""s4"">Prevents solids and other debris from clogging the drainage</span></li>
<li class=""s19""><span class=""s4"">Releasing clean &amp; fresh fragrance after each use for up to 30 days</span></li>
<li class=""s19""><span class=""s4"">Ideal for monthly urinal maintenance</span></li>
<li class=""s19"">
<span class=""s4"">Puck is </span><span class=""s4"">manufactured</span><span class=""s4""> of nature-friendly ingredients mostly wax and glycerin</span>
</li>
<li class=""s19""><span class=""s4"">Disposable - the puck cannot be replaced with a new one</span></li>
<li class=""s19""><span class=""s4"">Packaged in an eco-friendly cellophane bag</span></li>
<li class=""s19""><span class=""s4"">Complies European VOC standards</span></li>
<li class=""s19""><span class=""s4"">A new unique X design</span></li>
<li class=""s19""><span class=""s4"">Option for private branding through material cutouts and printing</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,XPU-01W,61.0,shopify,63,deny,manual,7.49,,true,true,,,,,XPU-01W,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/XPU-2G-V1.jpg?v=1773913360,1,"",false,,,1746,,,,new,,,,,,,,,,,,,,white-fresh,,fresh,,,,,,g,,,active
xcren-puck-white-fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/XPU-2G-V3.jpg?v=1773913361,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcren-puck-white-fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/XPU-2G-V2.jpg?v=1773913359,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ez-trap-with-removal-tool,ëz trap - with removal tool,"<p class=""s5""><span class=""s4"">ëz trap</span><span class=""s4""> is an innovative cartridge system designed to enhance the efficiency, cleanliness, and odor control of waterless urinals while significantly reducing maintenance costs.</span></p>
<p class=""s5""><span class=""s4"">Featuring the patented </span><span class=""s4"">ëz trap</span><span class=""s4""> Cartridge System, it allows urine to flow naturally through the siphon, with a closing cap that seals after each use. This prevents odors from escaping and ensures that with every </span><span class=""s4"">use</span><span class=""s4"">, old urine is removed from the system, maintaining a fresher restroom environment.</span></p>
<p class=""s3""><strong><span class=""s2"">ëz trap</span><span class=""s2""> offers an efficient, low-maintenance, and cost-saving solution for maintaining odor-free, waterless urinals.</span></strong></p>
<p class=""s5""><span> <img src=""https://cdn.shopify.com/s/files/1/0989/0542/4215/files/Header-desktop-1_5806e45f-a8c3-4521-8180-eecf33edc837.jpg?v=1773740100"" alt=""""></span></p>
<p class=""s3""><span class=""s2"">Key benefits:</span></p>
<ul>
<li class=""s7""><span class=""s4"">Eliminates odors – the siphon and cap system prevent unpleasant drainage smells </span></li>
<li class=""s7""><span class=""s4"">No need for costly gels or specialized cleaners </span></li>
<li class=""s7""><span class=""s4"">Easy and cost-effective maintenance – simply pour a glass of water daily to prevent calcium buildup </span></li>
<li class=""s7""><span class=""s4"">Long-lasting durability – cartridge lasts 4 to 6+ months, with extended lifespan possible through regular cleaning with an anti-calcium agent (e.g., quality toilet gel) </span></li>
<li class=""s7""><span class=""s4"">Universal compatibility – suitable for Sloan, Falcon, Vitra, Bobrick, and other brands using the Falcon Velocity system (diamater 11.8 cm, height 11.5 cm)</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,EZT-01,308.0,shopify,200,deny,manual,71.99,,true,true,,,,,EZT-01,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/EZT-1P-V1.jpg?v=1773913714,1,"",false,,,1746,,,,new,,,,,,,,,,,,,,,,,,,,,,g,,,active
